"","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","a","b","formula_type","dw"
"144","Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.197894293315652
"145","Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.197894293315652
"146","Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.197894293315652
"147","Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.197894293315652
"148","Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.451928691384938
"149","Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.451928691384938
"150","Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.451928691384938
"151","Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.451928691384938
"152","Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"kick_net",0.00845,2.8705,1,0.451928691384938
"153","Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",0.182,2.82,1,0.182
"154","Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",0.182,2.82,1,0.182
"155","Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",0.182,2.82,1,0.182
"156","Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",0.182,2.82,1,0.182
"157","Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",0.182,2.82,1,1.28521556259919
"158","Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",0.182,2.82,1,1.28521556259919
"159","Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",0.182,2.82,1,1.28521556259919
"160","Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",0.182,2.82,1,1.28521556259919
"161","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"162","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"163","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"164","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"165","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"166","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"167","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"168","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"169","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"170","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"171","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"172","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"173","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"174","Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",0.182,2.82,1,4.03230455398401
"175","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"176","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"177","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"178","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"179","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"180","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"181","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"182","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"183","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"184","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"185","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"186","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"187","Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",0.182,2.82,1,9.0757090238855
"188","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"189","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"190","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"191","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"192","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"193","Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",0.182,2.82,1,17.0281238483793
"194","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"195","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"196","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"197","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"198","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"199","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"200","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"201","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"202","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"203","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"204","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"205","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"206","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"207","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"208","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"209","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"210","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"211","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"212","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"213","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"214","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"215","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"216","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"217","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"218","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"219","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"220","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"221","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"222","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
"223","Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",0.007,2.88,1,0.051530508434993
