"","site","location","point","order","family","length","ecomorphology","area_pool","human_influence","method"
"74","Chriesbach","Inflow","1","Isopoda",NA,4,3,2202,131760.231971219,"suction"
"75","Chriesbach","Inflow","1","Isopoda",NA,3,3,2202,131760.231971219,"suction"
"76","Chriesbach","Inflow","1","Isopoda",NA,3,3,2202,131760.231971219,"suction"
"77","Chriesbach","Inflow","1","Isopoda",NA,2,3,2202,131760.231971219,"suction"
"78","Chriesbach","Inflow","1","Isopoda",NA,2,3,2202,131760.231971219,"suction"
"79","Chriesbach","Inflow","1","Isopoda",NA,1,3,2202,131760.231971219,"suction"
"80","Chriesbach","Inflow","1","Isopoda",NA,1,3,2202,131760.231971219,"suction"
"81","Chriesbach","Inflow","1","Pulmonata",NA,13,3,2202,131760.231971219,"suction"
"82","Chriesbach","Inflow","1","Pulmonata",NA,7,3,2202,131760.231971219,"suction"
"83","Chriesbach","Inflow","1","Pulmonata",NA,6,3,2202,131760.231971219,"suction"
"84","Chriesbach","Inflow","1","Pulmonata",NA,5,3,2202,131760.231971219,"suction"
"85","Chriesbach","Inflow","1","Pulmonata",NA,5,3,2202,131760.231971219,"suction"
"86","Chriesbach","Inflow","1","Pulmonata",NA,5,3,2202,131760.231971219,"suction"
"87","Chriesbach","Inflow","1","Pulmonata",NA,3,3,2202,131760.231971219,"suction"
"88","Chriesbach","Inflow","1","Pulmonata",NA,2,3,2202,131760.231971219,"suction"
"89","Chriesbach","Inflow","1","Pulmonata",NA,2,3,2202,131760.231971219,"suction"
"90","Chriesbach","Inflow","1","Pulmonata",NA,2,3,2202,131760.231971219,"suction"
"91","Chriesbach","Inflow","1","Pulmonata",NA,2,3,2202,131760.231971219,"suction"
"92","Chriesbach","Inflow","1","Pulmonata",NA,1,3,2202,131760.231971219,"suction"
"93","Chriesbach","Inflow","1","Pulmonata",NA,1,3,2202,131760.231971219,"suction"
"94","Chriesbach","Inflow","1","Pulmonata",NA,1,3,2202,131760.231971219,"suction"
"95","Chriesbach","Inflow","1","Diptera",NA,6,3,2202,131760.231971219,"suction"
"96","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"97","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"98","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"99","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"100","Chriesbach","Inflow","1","Diptera",NA,3,3,2202,131760.231971219,"suction"
"101","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"102","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"103","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"104","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"105","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"106","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"107","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"108","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"109","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"110","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"111","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"112","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"113","Chriesbach","Inflow","1","Diptera",NA,2,3,2202,131760.231971219,"suction"
"114","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"115","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"116","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"117","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"118","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"119","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"120","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"121","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"122","Chriesbach","Inflow","1","Diptera",NA,1,3,2202,131760.231971219,"suction"
"123","Chriesbach","Inflow","1","Hymenoptera","Formicidae",3,3,2202,131760.231971219,"suction"
"124","Chriesbach","Inflow","1","Hymenoptera",NA,3,3,2202,131760.231971219,"suction"
"125","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"126","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"127","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"128","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"129","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"130","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"131","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"132","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"133","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"134","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"135","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"136","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"137","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"138","Chriesbach","Inflow","1","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"139","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"140","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"141","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"142","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"143","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"144","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"145","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"146","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"147","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"148","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"149","Chriesbach","Inflow","1","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"150","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"151","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"152","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"153","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"154","Chriesbach","Inflow","1","Hemiptera",NA,3,3,2202,131760.231971219,"suction"
"155","Chriesbach","Inflow","1","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"156","Chriesbach","Inflow","1","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"157","Chriesbach","Inflow","1","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"158","Chriesbach","Inflow","1","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"159","Chriesbach","Inflow","1","Hemiptera",NA,1,3,2202,131760.231971219,"suction"
"160","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",6,3,2202,131760.231971219,"suction"
"161","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",4,3,2202,131760.231971219,"suction"
"162","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",3,3,2202,131760.231971219,"suction"
"163","Chriesbach","Inflow","1","Coleoptera","Staphylinidae",2,3,2202,131760.231971219,"suction"
"164","Chriesbach","Inflow","1","Coleoptera",NA,7,3,2202,131760.231971219,"suction"
"165","Chriesbach","Inflow","1","Thysanoptera",NA,1,3,2202,131760.231971219,"suction"
"166","Chriesbach","Inflow","1","Thysanoptera",NA,1,3,2202,131760.231971219,"suction"
"167","Chriesbach","Inflow","1","Entomobryomorpha",NA,3,3,2202,131760.231971219,"suction"
"168","Chriesbach","Inflow","1","Entomobryomorpha",NA,3,3,2202,131760.231971219,"suction"
"169","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"170","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"171","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"172","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"173","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"174","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"175","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"176","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"177","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"178","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"179","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"180","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"181","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"182","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"183","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"184","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"185","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"186","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"187","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"188","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"189","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"190","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"191","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"192","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"193","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"194","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"195","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"196","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"197","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"198","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"199","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"200","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"201","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"202","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"203","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"204","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"205","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"206","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"207","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"208","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"209","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"210","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"211","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"212","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"213","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"214","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"215","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"216","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"217","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"218","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"219","Chriesbach","Inflow","1","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"220","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"221","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"222","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"223","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"224","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"225","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"226","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"227","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"228","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"229","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"230","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"231","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"232","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"233","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"234","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"235","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"236","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"237","Chriesbach","Inflow","1","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"238","Chriesbach","Inflow","1","Acari",NA,1,3,2202,131760.231971219,"suction"
"239","Chriesbach","Inflow","1","Acari",NA,1,3,2202,131760.231971219,"suction"
"240","Chriesbach","Inflow","1","Pulmonata",NA,3,3,2202,131760.231971219,"suction"
"241","Chriesbach","Inflow","2","Isopoda",NA,10,3,2202,131760.231971219,"suction"
"242","Chriesbach","Inflow","2","Isopoda",NA,7,3,2202,131760.231971219,"suction"
"243","Chriesbach","Inflow","2","Isopoda",NA,7,3,2202,131760.231971219,"suction"
"244","Chriesbach","Inflow","2","Isopoda",NA,3,3,2202,131760.231971219,"suction"
"245","Chriesbach","Inflow","2","Isopoda",NA,3,3,2202,131760.231971219,"suction"
"246","Chriesbach","Inflow","2","Isopoda",NA,3,3,2202,131760.231971219,"suction"
"247","Chriesbach","Inflow","2","Isopoda",NA,2,3,2202,131760.231971219,"suction"
"248","Chriesbach","Inflow","2","Isopoda",NA,2,3,2202,131760.231971219,"suction"
"249","Chriesbach","Inflow","2","Isopoda",NA,2,3,2202,131760.231971219,"suction"
"250","Chriesbach","Inflow","2","Isopoda",NA,1,3,2202,131760.231971219,"suction"
"251","Chriesbach","Inflow","2","Entomobryomorpha",NA,3,3,2202,131760.231971219,"suction"
"252","Chriesbach","Inflow","2","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"253","Chriesbach","Inflow","2","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"254","Chriesbach","Inflow","2","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"255","Chriesbach","Inflow","2","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"256","Chriesbach","Inflow","2","Entomobryomorpha",NA,2,3,2202,131760.231971219,"suction"
"257","Chriesbach","Inflow","2","Entomobryomorpha",NA,1,3,2202,131760.231971219,"suction"
"258","Chriesbach","Inflow","2","Poduromorpha",NA,2,3,2202,131760.231971219,"suction"
"259","Chriesbach","Inflow","2","Poduromorpha",NA,2,3,2202,131760.231971219,"suction"
"260","Chriesbach","Inflow","2","Psocoptera",NA,2,3,2202,131760.231971219,"suction"
"261","Chriesbach","Inflow","2","Diptera",NA,4,3,2202,131760.231971219,"suction"
"262","Chriesbach","Inflow","2","Diptera",NA,4,3,2202,131760.231971219,"suction"
"263","Chriesbach","Inflow","2","Diptera",NA,4,3,2202,131760.231971219,"suction"
"264","Chriesbach","Inflow","2","Diptera",NA,2,3,2202,131760.231971219,"suction"
"265","Chriesbach","Inflow","2","Diptera",NA,1,3,2202,131760.231971219,"suction"
"266","Chriesbach","Inflow","2","Diptera",NA,1,3,2202,131760.231971219,"suction"
"267","Chriesbach","Inflow","2","Hymenoptera",NA,4,3,2202,131760.231971219,"suction"
"268","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"269","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"270","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"271","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"272","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"273","Chriesbach","Inflow","2","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"274","Chriesbach","Inflow","2","Hemiptera",NA,2,3,2202,131760.231971219,"suction"
"275","Chriesbach","Inflow","2","Hemiptera","Aphididae",2,3,2202,131760.231971219,"suction"
"276","Chriesbach","Inflow","2","Hemiptera","Aphididae",2,3,2202,131760.231971219,"suction"
"277","Chriesbach","Inflow","2","Hemiptera",NA,1,3,2202,131760.231971219,"suction"
"278","Chriesbach","Inflow","2","Blattodea",NA,3,3,2202,131760.231971219,"suction"
"279","Chriesbach","Inflow","2","Coleoptera","Staphylinidae",3,3,2202,131760.231971219,"suction"
"280","Chriesbach","Inflow","2",NA,NA,7,3,2202,131760.231971219,"suction"
"281","Chriesbach","Inflow","2","Lithobiomorpha",NA,5,3,2202,131760.231971219,"suction"
"282","Chriesbach","Inflow","2","Acari",NA,1,3,2202,131760.231971219,"suction"
"283","Chriesbach","Inflow","2","Hymenoptera",NA,3,3,2202,131760.231971219,"suction"
"284","Chriesbach","Inflow","2","Hymenoptera",NA,3,3,2202,131760.231971219,"suction"
"285","Chriesbach","Inflow","2","Hymenoptera",NA,2,3,2202,131760.231971219,"suction"
"286","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"287","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"288","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"289","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"290","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"291","Chriesbach","Inflow","2","Hymenoptera",NA,1,3,2202,131760.231971219,"suction"
"292","Chriesbach","Inflow","2","Hymenoptera","Formicidae",5,3,2202,131760.231971219,"suction"
"293","Chriesbach","Inflow","2","Hymenoptera","Formicidae",4,3,2202,131760.231971219,"suction"
"294","Chriesbach","Inflow","2","Diptera",NA,2,3,2202,131760.231971219,"suction"
"295","Chriesbach","Inflow","2","Diptera",NA,2,3,2202,131760.231971219,"suction"
"296","Chriesbach","Inflow","2","Diptera",NA,1,3,2202,131760.231971219,"suction"
"297","Chriesbach","Inflow","2","Diptera",NA,1,3,2202,131760.231971219,"suction"
"298","Chriesbach","Inflow","2","Diptera",NA,1,3,2202,131760.231971219,"suction"
