"","X.1","X","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","point","type","backbone_order","source.x","order_corrected","a","b","source.y","dry_weight"
"15",15,15,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.707077296148592
"16",16,16,"Tegel","Control","Ephemeroptera","Ephemerellidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",0.707077296148592
"17",17,17,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",1.16714694178748
"18",18,18,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",1.16714694178748
"19",19,19,"Tegel","Control","Ephemeroptera","Ephemerellidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00847406780973055,2.74886611111111,"van_leeuwen_2025",1.16714694178748
"20",20,20,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"21",21,21,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"22",22,22,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"23",23,23,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"24",24,24,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"25",25,25,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"26",26,26,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"27",27,27,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"28",28,28,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"29",29,29,"Tegel","Control","Ephemeroptera","Baetidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.0522288528220242
"30",30,30,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"31",31,31,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"32",32,32,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"33",33,33,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"34",34,34,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"35",35,35,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"36",36,36,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"37",37,37,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"38",38,38,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"39",39,39,"Tegel","Control","Ephemeroptera","Baetidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.163901756698852
"40",40,40,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.368959584169999
"41",41,41,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.368959584169999
"42",42,42,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.368959584169999
"43",43,43,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.368959584169999
"44",44,44,"Tegel","Control","Ephemeroptera","Baetidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.368959584169999
"45",45,45,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.692337314846181
"46",46,46,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.692337314846181
"47",47,47,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.692337314846181
"48",48,48,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.692337314846181
"49",49,49,"Tegel","Control","Ephemeroptera","Baetidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",0.692337314846181
"50",50,50,"Tegel","Control","Ephemeroptera","Baetidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Ephemeroptera","GBIF","Ephemeroptera",0.00739336551790941,2.82054387096774,"van_leeuwen_2025",1.15784898057037
"51",51,51,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"52",52,52,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"53",53,53,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"54",54,54,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"55",55,55,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"56",56,56,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"57",57,57,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"58",58,58,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"59",59,59,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"60",60,60,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"61",61,61,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"62",62,62,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"63",63,63,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"64",64,64,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"65",65,65,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"66",66,66,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"67",67,67,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"68",68,68,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"69",69,69,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"70",70,70,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"71",71,71,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"72",72,72,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"73",73,73,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"74",74,74,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"75",75,75,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"76",76,76,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"77",77,77,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"78",78,78,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"79",79,79,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.14675526597859
"80",80,80,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.76829383632001
"81",81,81,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.76829383632001
"82",82,82,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"83",83,83,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"84",84,84,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"85",85,85,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"86",86,86,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"87",87,87,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"88",88,88,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"89",89,89,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.052362721061103
"90",90,90,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"91",91,91,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"92",92,92,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"93",93,93,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"94",94,94,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"95",95,95,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"96",96,96,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"97",97,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"98",98,98,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"99",99,99,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"100",100,100,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.163584397376611
"101",101,101,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"102",102,102,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"103",103,103,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"104",104,104,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"105",105,105,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"106",106,106,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"107",107,107,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.367071842307458
"108",108,108,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"109",109,109,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"110",110,110,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"111",111,111,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"112",112,112,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"113",113,113,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"114",114,114,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"115",115,115,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",0.687092097684022
"116",116,116,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.14675526597859
"117",117,117,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.76829383632001
"118",118,118,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00746953114051804,2.80945047619048,"van_leeuwen_2025",1.76829383632001
"119",119,119,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00298758907732984,2.6663,"van_leeuwen_2025",0.018965187486616
"120",120,120,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00298758907732984,2.6663,"van_leeuwen_2025",0.018965187486616
"121",121,121,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00298758907732984,2.6663,"van_leeuwen_2025",0.018965187486616
"122",122,122,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00298758907732984,2.6663,"van_leeuwen_2025",0.018965187486616
"123",123,123,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic","Diptera","GBIF","Diptera",0.00298758907732984,2.6663,"van_leeuwen_2025",0.018965187486616
