OBS,Date,Year,Pool,Pool Order,SiteDescription,CarpSighted,Gear,CommonName,MetricLength,Log2Length,Log2SC,MetricWeight,Family,Genus,Species,TrophicGuild
9722,10/17/2018,2018,Meldahl,4,MELUM08,FALSE,Boat Electrofishing,Sauger,182.88,7.514753498,7.5,49.896,Percidae,Sander,canadensis,Piscivore
9682,10/18/2018,2018,Meldahl,4,MELLM05,FALSE,Boat Electrofishing,Sauger,187.96,7.554281863,7.5,49.896,Percidae,Sander,canadensis,Piscivore
9684,10/18/2018,2018,Meldahl,4,MELLM10,FALSE,Boat Electrofishing,Sauger,187.96,7.554281863,7.5,49.896,Percidae,Sander,canadensis,Piscivore
6249,11/5/2015,2015,Markland,3,MARUP01,FALSE,Boat Electrofishing,SkipjackHerring,195.58,7.611615038,7.5,49.896,Clupeidae,Alosa,chrysochloris,Piscivore
9414,10/16/2017,2017,Markland,3,MARUP01,FALSE,Boat Electrofishing,StripedBass,325.12,8.344828497,8,49.896,Moronidae,Morone,saxatilis,Piscivore
7066,10/31/2017,2017,McAlpine,2,MCAUP06,FALSE,Boat Electrofishing,GizzardShad,184.0000994,7.523562735,7.5,51.00079723,Clupeidae,Dorosoma,cepedianum,Herbivore
8156,11/17/2017,2017,RC Byrd,6,RCBUM07,FALSE,Boat Electrofishing,GizzardShad,181.0000977,7.499846666,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
5258,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,182.0000983,7.507795419,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
5264,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,187.000101,7.546895239,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
5345,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,187.000101,7.546895239,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
7573,11/20/2017,2017,RC Byrd,6,RBKR08,FALSE,Boat Electrofishing,GizzardShad,189.0001021,7.562243203,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
7574,11/20/2017,2017,RC Byrd,6,RBKR08,FALSE,Boat Electrofishing,GizzardShad,189.0001021,7.562243203,7.5,52.00081286,Clupeidae,Dorosoma,cepedianum,Herbivore
5451,11/13/2017,2017,Greenup,5,GRUM14,FALSE,Boat Electrofishing,GizzardShad,183.0000988,7.515700617,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
6679,11/2/2017,2017,McAlpine,2,MCALO03,FALSE,Boat Electrofishing,GizzardShad,183.0000988,7.515700617,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5261,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,184.0000994,7.523562735,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5263,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,185.0000999,7.53138224,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5343,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,185.0000999,7.53138224,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5344,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,186.0001004,7.53915959,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
7050,10/31/2017,2017,McAlpine,2,MCAUP05,FALSE,Boat Electrofishing,GizzardShad,188.0001015,7.554589631,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5347,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,189.0001021,7.562243203,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
5266,11/14/2017,2017,Greenup,5,GRELO01,FALSE,Boat Electrofishing,GizzardShad,191.0001031,7.577429607,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
7577,11/20/2017,2017,RC Byrd,6,RBKR08,FALSE,Boat Electrofishing,GizzardShad,191.0001031,7.577429607,7.5,54.00084413,Clupeidae,Dorosoma,cepedianum,Herbivore
8590,10/13/2020,2020,Cannelton,1,CANLO03,FALSE,Boat Electrofishing,ChannelCatfish,210.82,7.719867928,7.5,54.432,Ictaluridae,Ictalurus,punctatus,Omnivore
8595,10/22/2018,2018,Cannelton,1,CANLO06,TRUE,Boat Electrofishing,ChannelCatfish,213.36,7.73714592,7.5,54.432,Ictaluridae,Ictalurus,punctatus,Omnivore
4753,11/2/2016,2016,Cannelton,1,CANLM03,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5147,11/2/2016,2016,Cannelton,1,CANUP06,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4994,10/4/2017,2017,Cannelton,1,CANUM01,TRUE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4850,10/22/2018,2018,Cannelton,1,CANLO01,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5384,11/17/2016,2016,Greenup,5,GREUM07,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5432,11/17/2016,2016,Greenup,5,GRUI01,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5779,10/29/2015,2015,Markland,3,MARLO01,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5819,10/29/2015,2015,Markland,3,MARLO02,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5904,10/10/2016,2016,Markland,3,MARLO04,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6102,10/12/2016,2016,Markland,3,MARUM04,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5609,10/18/2017,2017,Markland,3,MARLM03,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5690,10/18/2017,2017,Markland,3,MARLM06,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5857,10/16/2017,2017,Markland,3,MARLO03,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6316,10/16/2017,2017,Markland,3,MARUP06,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6317,10/16/2017,2017,Markland,3,MARUP06,FALSE,Boat Electrofishing,GizzardShad,182.88,7.514753498,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4807,10/3/2017,2017,Cannelton,1,CANLM05,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4831,10/7/2020,2020,Cannelton,1,CANLM06,TRUE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5015,10/6/2020,2020,Cannelton,1,CANUM02,TRUE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6091,11/4/2015,2015,Markland,3,MARUM03,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5982,10/10/2016,2016,Markland,3,MARLO06,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5561,10/17/2017,2017,Markland,3,MARLM02,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5670,10/18/2017,2017,Markland,3,MARLM05,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6194,10/17/2017,2017,Markland,3,MARUM06,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7165,11/9/2015,2015,Meldahl,4,MELLO01,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7532,12/3/2015,2015,Meldahl,4,MELUP04,FALSE,Boat Electrofishing,GizzardShad,185.42,7.534653056,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5044,11/3/2016,2016,Cannelton,1,CANUM03,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4916,10/22/2018,2018,Cannelton,1,CANLO04,TRUE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4950,10/22/2018,2018,Cannelton,1,CANLO05,TRUE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5551,10/11/2016,2016,Markland,3,MARLM02,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5986,10/10/2016,2016,Markland,3,MARLO06,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5490,10/17/2017,2017,Markland,3,MARLM01,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7502,11/1/2016,2016,Meldahl,4,MELUP01,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7092,10/25/2018,2018,Meldahl,4,MELLM01,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7685,10/29/2018,2018,RC Byrd,6,RCBLM05,FALSE,Boat Electrofishing,GizzardShad,187.96,7.554281863,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4814,10/23/2018,2018,Cannelton,1,CANLM05,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4951,10/22/2018,2018,Cannelton,1,CANLO05,TRUE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4893,10/13/2020,2020,Cannelton,1,CANLO03,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5693,10/18/2017,2017,Markland,3,MARLM06,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7556,12/3/2015,2015,Meldahl,4,MELUP07,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7960,11/10/2016,2016,RC Byrd,6,RCBUM05,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7637,10/29/2018,2018,RC Byrd,6,RCBLM02,FALSE,Boat Electrofishing,GizzardShad,190.5,7.573647187,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4745,11/2/2016,2016,Cannelton,1,CANLM02,FALSE,Boat Electrofishing,GizzardShad,193.04,7.59275601,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6117,10/12/2016,2016,Markland,3,MARUM05,FALSE,Boat Electrofishing,GizzardShad,193.04,7.59275601,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7104,10/18/2018,2018,Meldahl,4,MELLM03,FALSE,Boat Electrofishing,GizzardShad,193.04,7.59275601,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7451,10/29/2018,2018,RC Byrd,6,MELUM06,FALSE,Boat Electrofishing,GizzardShad,193.04,7.59275601,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5159,10/17/2018,2018,Cannelton,1,CANUP06,FALSE,Boat Electrofishing,GizzardShad,195.58,7.611615038,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
5867,10/26/2015,2015,Markland,3,MARLO04,FALSE,Boat Electrofishing,GizzardShad,195.58,7.611615038,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
4832,10/7/2020,2020,Cannelton,1,CANLM06,TRUE,Boat Electrofishing,GizzardShad,198.12,7.630230716,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6212,11/19/2019,2019,Markland,3,MARUM06,FALSE,Boat Electrofishing,GizzardShad,198.12,7.630230716,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
7459,10/29/2018,2018,RC Byrd,6,MELUM06,FALSE,Boat Electrofishing,GizzardShad,210.82,7.719867928,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6019,10/16/2017,2017,Markland,3,MARLO06,FALSE,Boat Electrofishing,GizzardShad,213.36,7.73714592,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
6021,10/16/2017,2017,Markland,3,MARLO06,FALSE,Boat Electrofishing,GizzardShad,215.9,7.754219433,7.5,54.432,Clupeidae,Dorosoma,cepedianum,Herbivore
9691,10/24/2018,2018,Meldahl,4,MELLO02,FALSE,Boat Electrofishing,Sauger,182.88,7.514753498,7.5,54.432,Percidae,Sander,canadensis,Piscivore
9723,10/17/2018,2018,Meldahl,4,MELUM08,FALSE,Boat Electrofishing,Sauger,185.42,7.534653056,7.5,54.432,Percidae,Sander,canadensis,Piscivore
9660,10/15/2018,2018,Meldahl,4,MCAUM05,FALSE,Boat Electrofishing,Sauger,193.04,7.59275601,7.5,54.432,Percidae,Sander,canadensis,Piscivore
9706,10/17/2018,2018,Meldahl,4,MELUM05,FALSE,Boat Electrofishing,Sauger,198.12,7.630230716,7.5,54.432,Percidae,Sander,canadensis,Piscivore
9551,11/2/2016,2016,Cannelton,1,CANLM04,FALSE,Boat Electrofishing,Sauger,203.2,7.666756592,7.5,54.432,Percidae,Sander,canadensis,Piscivore
9582,11/5/2018,2018,Greenup,5,GRELM02,FALSE,Boat Electrofishing,Sauger,203.2,7.666756592,7.5,54.432,Percidae,Sander,canadensis,Piscivore
6401,10/7/2016,2016,McAlpine,2,MCALM02,FALSE,Boat Electrofishing,SkipjackHerring,200.66,7.648609245,7.5,54.432,Clupeidae,Alosa,chrysochloris,Piscivore
2721,10/29/2018,2018,RC Byrd,6,MELUM06,FALSE,Boat Electrofishing,SpottedSucker,182.88,7.514753498,7.5,54.432,Catostomidae,Minytrema,melanops,Invertivore
9374,10/29/2015,2015,Markland,3,MARLO02,FALSE,Boat Electrofishing,WhiteBass,182.88,7.514753498,7.5,54.432,Moronidae,Morone,chrysops,Piscivore
3507,10/29/2019,2019,Cannelton,1,CANLO04,FALSE,Boat Electrofishing,WhiteCrappie,185.42,7.534653056,7.5,54.432,Centrarchidae,Pomoxis,annularis,Piscivore
3543,10/13/2020,2020,Cannelton,1,CANLO06,TRUE,Boat Electrofishing,WhiteCrappie,185.42,7.534653056,7.5,54.432,Centrarchidae,Pomoxis,annularis,Piscivore
6769,11/2/2017,2017,McAlpine,2,MCALO07,FALSE,Boat Electrofishing,GizzardShad,182.0000983,7.507795419,7.5,55.00085976,Clupeidae,Dorosoma,cepedianum,Herbivore
5450,11/13/2017,2017,Greenup,5,GRUM14,FALSE,Boat Electrofishing,GizzardShad,182.0000983,7.507795419,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
7658,11/6/2017,2017,RC Byrd,6,RCBLM05,FALSE,Boat Electrofishing,GizzardShad,184.0000994,7.523562735,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
6570,11/1/2017,2017,McAlpine,2,MCALM06,FALSE,Boat Electrofishing,GizzardShad,187.000101,7.546895239,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
5186,11/13/2017,2017,Greenup,5,GRELM03,FALSE,Boat Electrofishing,GizzardShad,188.0001015,7.554589631,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
5346,11/14/2017,2017,Greenup,5,GRELO04,FALSE,Boat Electrofishing,GizzardShad,188.0001015,7.554589631,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
6447,11/1/2017,2017,McAlpine,2,MCALM03,FALSE,Boat Electrofishing,GizzardShad,188.0001015,7.554589631,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
6690,11/2/2017,2017,McAlpine,2,MCALO04,FALSE,Boat Electrofishing,GizzardShad,188.0001015,7.554589631,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
7581,11/20/2017,2017,RC Byrd,6,RBKR08,FALSE,Boat Electrofishing,GizzardShad,195.0001053,7.607331093,7.5,56.00087539,Clupeidae,Dorosoma,cepedianum,Herbivore
599,11/13/2017,2017,Greenup,5,GRELM01,FALSE,Boat Electrofishing,ShortheadRedhorse,186.0001004,7.53915959,7.5,56.00087539,Catostomidae,Moxostoma,breviceps,Invertivore
