"","site","community","agriculture","urban","natural","human_influence"
"57","Haslibach","arthropods_flying",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"58","Haslibach","arthropods_terrestrial",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"59","Haslibach","bats",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"60","Haslibach","dragonflies",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"61","Haslibach","fish",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"62","Haslibach","macrophytes",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"63","Haslibach","plankton",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"64","Haslibach","plants_terrestrial",14842.3640579172,6162.3941449987,175344.738623627,21004.7582029159
"65","Hemishofen","amphibians",34966.3580963101,4121.085,157262.06034212,39087.44309631
"66","Hemishofen","aquatic_invertebrates",34966.3580963101,4121.085,157262.06034212,39087.44309631
"67","Hemishofen","arthropods_terrestrial",34966.3580963101,4121.085,157262.06034212,39087.44309631
"68","Hemishofen","dragonflies",34966.3580963101,4121.085,157262.06034212,39087.44309631
"69","Hemishofen","fish",34966.3580963101,4121.085,157262.06034212,39087.44309631
"70","Hemishofen","macrophytes",34966.3580963101,4121.085,157262.06034212,39087.44309631
"71","Hemishofen","plankton",34966.3580963101,4121.085,157262.06034212,39087.44309631
"72","Hemishofen","plants_terrestrial",34966.3580963101,4121.085,157262.06034212,39087.44309631
"73","Leugene","amphibians",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"74","Leugene","aquatic_invertebrates",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"75","Leugene","arthropods_flying",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"76","Leugene","arthropods_terrestrial",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"77","Leugene","bats",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"78","Leugene","dragonflies",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"79","Leugene","fish",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"80","Leugene","macrophytes",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"81","Leugene","plankton",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"82","Leugene","plants_terrestrial",103689.720669631,78109.0789196953,14550.7007754202,181798.799589326
"83","Logge","amphibians",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"84","Logge","aquatic_invertebrates",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"85","Logge","arthropods_terrestrial",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"86","Logge","dragonflies",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"87","Logge","fish",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"88","Logge","macrophytes",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"89","Logge","plankton",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"90","Logge","plants_terrestrial",29514.1484714792,5000.655,161834.698703272,34514.8034714792
"91","Nider","amphibians",0,24.2948159790324,196325.20460906,24.2948159790324
"92","Nider","aquatic_invertebrates",0,24.2948159790324,196325.20460906,24.2948159790324
"93","Nider","arthropods_terrestrial",0,24.2948159790324,196325.20460906,24.2948159790324
"94","Nider","dragonflies",0,24.2948159790324,196325.20460906,24.2948159790324
"95","Nider","fish",0,24.2948159790324,196325.20460906,24.2948159790324
"96","Nider","macrophytes",0,24.2948159790324,196325.20460906,24.2948159790324
"97","Nider","plankton",0,24.2948159790324,196325.20460906,24.2948159790324
"98","Nider","plants_terrestrial",0,24.2948159790324,196325.20460906,24.2948159790324
"99","Riedgrabe","amphibians",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"100","Riedgrabe","aquatic_invertebrates",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"101","Riedgrabe","arthropods_flying",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"102","Riedgrabe","arthropods_terrestrial",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"103","Riedgrabe","bats",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"104","Riedgrabe","dragonflies",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"105","Riedgrabe","fish",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"106","Riedgrabe","macrophytes",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"107","Riedgrabe","plankton",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"108","Riedgrabe","plants_terrestrial",61986.4340001845,4961.57,129401.497077584,66948.0040001844
"109","Rot","amphibians",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"110","Rot","aquatic_invertebrates",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"111","Rot","arthropods_terrestrial",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"112","Rot","dragonflies",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"113","Rot","fish",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"114","Rot","macrophytes",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"115","Rot","plankton",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"116","Rot","plants_terrestrial",114531.350371946,9514.9167131148,72303.2326488103,124046.267085061
"117","Talent","amphibians",672.597182943705,249.44,195427.462920968,922.037182943705
"118","Talent","aquatic_invertebrates",672.597182943705,249.44,195427.462920968,922.037182943705
"119","Talent","arthropods_flying",672.597182943705,249.44,195427.462920968,922.037182943705
"120","Talent","arthropods_terrestrial",672.597182943705,249.44,195427.462920968,922.037182943705
"121","Talent","bats",672.597182943705,249.44,195427.462920968,922.037182943705
"122","Talent","dragonflies",672.597182943705,249.44,195427.462920968,922.037182943705
"123","Talent","fish",672.597182943705,249.44,195427.462920968,922.037182943705
"124","Talent","macrophytes",672.597182943705,249.44,195427.462920968,922.037182943705
"125","Talent","plankton",672.597182943705,249.44,195427.462920968,922.037182943705
"126","Talent","plants_terrestrial",672.597182943705,249.44,195427.462920968,922.037182943705
"127","Tegel","amphibians",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"128","Tegel","aquatic_invertebrates",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"129","Tegel","arthropods_terrestrial",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"130","Tegel","dragonflies",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"131","Tegel","fish",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"132","Tegel","macrophytes",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"133","Tegel","plankton",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"134","Tegel","plants_terrestrial",149473.423872666,41635.0107182069,5241.06536862918,191108.434590873
"135","Weierbach","amphibians",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"136","Weierbach","aquatic_invertebrates",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"137","Weierbach","arthropods_flying",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"138","Weierbach","arthropods_terrestrial",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"139","Weierbach","bats",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"140","Weierbach","dragonflies",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"141","Weierbach","fish",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"142","Weierbach","macrophytes",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"143","Weierbach","plankton",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
"144","Weierbach","plants_terrestrial",92274.8782781304,8413.9099576543,95660.709548481,100688.788235785
