order,family,genus,species,tax_resolution,a,b,n,minimum_size,maximum_size,continent,region_detail,source publication,relation,original_a,orginal_a_SE,orginal_ln_a,orginal_ln_a_SE,orginal_b,orginal_b_SE,notes
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche incommoda,species,0.00053,4.179,43,2.6,9,North America,,Benke 1999,power model,0.00053,0.00003,,,4.179,0.179,
Diptera,Simuliidae,Simulium,Simulium venustum,species,0.00055,3.036,38,,,North America,,Benke 1999,power model,0.00055,0.00012,,,3.036,0.081,
Diptera,Chironomidae,Dicrotendipes,,genus,0.00059,3.142,17,2.6,6.7,North America,,Benke 1999,power model,0.00059,0.00005,,,3.142,0.312,
Diptera,Chironomidae,Chironomus,,genus,0.00068,2.62,26,2,13.7,North America,,Benke 1999,power model,0.00068,0.00004,,,2.62,0.112,
Diptera,Chironomidae,Procladius,,genus,0.00077,2.693,32,1,9.8,North America,,Benke 1999,power model,0.00077,0.00006,,,2.693,0.154,
Ephemeroptera,Baetidae,Callibaetis,,genus,0.00081,3.547,21,4.3,8.2,North America,,Benke 1999,power model,0.00081,0.00006,,,3.547,0.402,
Diptera,Chironomidae,Chironomus,Chironomus decorus,species,0.00083,2.86,105,,,North America,,Benke 1999,power model,0.00083,,,,2.86,,
Diptera,Chironomidae,Ablabesmyia,,genus,0.001,2.884,20,0.8,7.5,North America,,Benke 1999,power model,0.001,0.0009,,,2.884,0.166,
Diptera,Chironomidae,Polypedilum,,genus,0.001,2.761,18,1.3,5.7,North America,,Benke 1999,power model,0.001,0.0005,,,2.761,0.11,
Diptera,Chironomidae,Cladopelma,,genus,0.001,2.606,15,1,4.6,North America,,Benke 1999,power model,0.001,0.00008,,,2.606,0.189,
Ephemeroptera,Ephemerellidae,Ephemerella,,genus,0.0011,2.554,130,2.1,8.8,North America,,Benke 1999,power model,0.0011,,,,2.554,,More details in reference
Diptera,Simuliidae,Simulium,Simulium decorum,species,0.00119,2.692,15,,,North America,,Benke 1999,power model,0.00119,0.00059,,,2.692,0.303,
Diptera,Simuliidae,Prosimulium,Prosimulium mixtum,species,0.0012,3.19,612,,,North America,,Benke 1999,power model,0.0012,0.0002,,,3.19,0.08,
Diptera,Chironomidae,Procladius,Procladius bellus,species,0.0012,2.597,123,,,North America,,Benke 1999,power model,0.0012,,,,2.597,,
Diptera,Chironomidae,Tanytarsus,,genus,0.0012,2.294,14,1.6,5.8,North America,,Benke 1999,power model,0.0012,0.00013,,,2.294,0.317,
Odonata,Coenagrionidae,Ischnura,,genus,0.0015,2.904,13,2.9,13.3,North America,,Benke 1999,power model,0.0015,0.0001,,,2.904,0.18,
Plecoptera,Perlidae,Acroneuria,,genus,0.0019,3.232,52,3.4,17,North America,,Benke 1999,power model,0.0019,0.0001,,,3.232,0.16,
Ephemeroptera,Polymitarcyidae,Ephoron,Ephoron album,species,0.002,3.05,,5,14,North America,,Benke 1999,power model,0.002,,,,3.05,,
Ephemeroptera,Baetidae,Pseudocloeon,,genus,0.0023,3.264,22,1.6,5.4,North America,,Benke 1999,power model,0.0023,0.0008,,,3.264,0.532,
Megaloptera,Corydalidae,Corydalus,Corydalus cornutus,species,0.0023,2.984,144,2.4,77.1,North America,,Benke 1999,power model,0.0023,,,,2.984,,
Trichoptera,Polycentropodidae,Neureclipsis,,genus,0.0023,2.879,23,6,11.5,North America,,Benke 1999,power model,0.0023,0.0002,,,2.879,0.499,
Coleoptera,Elmidae,Promoresia,,genus,0.0025,3.521,19,1.2,3.9,North America,,Benke 1999,power model,0.0025,0.0007,,,3.521,0.278,
Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus etowahensis,species,0.0025,3.443,224,2,13,North America,,Benke 1999,power model,0.0025,0.0008,,,3.443,0.037,
Plecoptera,Leuctridae,Leuctra,,genus,0.0025,2.744,34,2.2,7.2,North America,,Benke 1999,power model,0.0025,0.0003,,,2.744,0.1,
Ephemeroptera,Ephemeridae,Hexagenia,Hexagenia limbata,species,0.0025,2.714,32,,,North America,,Benke 1999,power model,0.0025,,,,2.714,,More details in reference
Trichoptera,Brachycentridae,Brachycentrus,,genus,0.0025,2.6,26,2.2,10.4,North America,,Benke 1999,power model,0.0025,0.0005,,,2.6,0.421,
Ephemeroptera,Leptophlebiidae,Habrophlebia,Habrophlebia vibrans,species,0.0028,2.488,,,,North America,,Benke 1999,power model,0.0028,,,,2.488,,
Ephemeroptera,Tricorythidae,Tricorythodes,,genus,0.0029,3.165,19,1.7,7.1,North America,,Benke 1999,power model,0.0029,0.004,,,3.165,0.253,
Plecoptera,Perlidae,Eccoptura,Eccoptura xanthenes,species,0.003,3.232,18,5.8,20,North America,,Benke 1999,power model,0.003,0.0003,,,3.232,0.185,
Plecoptera,Perlidae,Perlesta,Perlesta placida,species,0.003,3.02,83,3.7,10.2,North America,,Benke 1999,power model,0.003,0.0001,,,3.02,0.143,
Ephemeroptera,Isonychiidae,Isonychia,,genus,0.0031,3.043,230,2.2,13.2,North America,,Benke 1999,power model,0.0031,,,,3.043,,
Hemiptera,Corixidae,Sigara,,genus,0.0031,2.904,14,3.4,6.8,North America,,Benke 1999,power model,0.0031,0.0002,,,2.904,0.157,
Megaloptera,Sialidae,Sialis,,genus,0.0031,2.801,25,5.1,21.3,North America,,Benke 1999,power model,0.0031,0.0002,,,2.801,0.202,
Trichoptera,Hydropsychidae,Macrostemum,Macrostemum carolina,genus,0.0033,3.042,87,1.8,15,North America,,Benke 1999,power model,0.0033,,,,3.042,,More details in reference
Trichoptera,Leptoceridae,Oecetis,,genus,0.0034,3.212,23,1.2,8,North America,,Benke 1999,power model,0.0034,0.0006,,,3.212,0.251,
Plecoptera,Perlidae,Perlinella,Perlinella drymo,species,0.0034,3.123,18,3.3,16.9,North America,,Benke 1999,power model,0.0034,0.0003,,,3.123,0.203,
Coleoptera,Elmidae,Ancyronyx,Ancyronyx variegata,species,0.0034,3.091,37,1.5,4,North America,,Benke 1999,power model,0.0034,0.0003,,,3.091,0.286,
Diptera,Tabanidae,Tipula,Tipula abdominalis,species,0.0035,2.637,63,4,38.1,North America,,Benke 1999,power model,0.0035,,,,2.637,,More details in reference
Diptera,Simuliidae,Simulium,,genus,0.0036,2.724,33,,,North America,,Benke 1999,power model,0.0036,,,,2.724,,
Diptera,Ceratopogonidae,Palpomyia,,genus,0.0036,2.268,,,,North America,,Benke 1999,power model,0.0036,,,,2.268,,
Plecoptera,Perlidae,Perlesta,,genus,0.0037,3.08,15,2.5,11.5,North America,,Benke 1999,power model,0.0037,0.0003,,,3.08,0.15,
Trichoptera,Psychomyiidae,Lype,Lype diversa,species,0.0039,2.873,28,3.3,14.1,North America,,Benke 1999,power model,0.0039,0.0008,,,2.873,0.21,
Odonata,Libellulidae,Plathemis,Plathemis lydia,species,0.004,3.068,22,7,18.9,North America,,Benke 1999,power model,0.004,0.0003,,,3.068,0.285,
Plecoptera,Nemouridae,Amphinemura,,genus,0.004,2.975,62,1,6.9,North America,,Benke 1999,power model,0.004,0.0005,,,2.975,0.178,
Ephemeroptera,Baetidae,Baetis,Baetis pygmaeus,species,0.004,2.378,,,,North America,,Benke 1999,power model,0.004,,,,2.378,,
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche occidentalis,species,0.0041,2.97,50,,,North America,,Benke 1999,power model,0.0041,,,,2.97,,
Trichoptera,Limnephilidae,Ironoquia,Ironoquia parvula,species,0.0041,2.933,18,2.5,17.3,North America,,Benke 1999,power model,0.0041,0.0004,,,2.933,0.199,
Plecoptera,Taeniopterygidae,Strophopteryx,,genus,0.0043,2.79,26,1.5,7.8,North America,,Benke 1999,power model,0.0043,0.0004,,,2.79,0.322,
Megaloptera,Sialidae,Sialis,Sialis aequalis,species,0.0043,2.704,36,3.4,20.2,North America,,Benke 1999,power model,0.0043,0.0005,,,2.704,0.344,
Plecoptera,Perlodidae,Clioperla,Clioperla clio,species,0.0046,2.847,76,2.4,14.3,North America,,Benke 1999,power model,0.0046,,,,2.847,,More details in reference
Trichoptera,Hydropsychidae,Cheumatopsyche,,genus,0.0047,2.671,105,1.1,12,North America,,Benke 1999,power model,0.0047,,,,2.671,,More details in reference
Trichoptera,Limnephilidae,Pycnopsyche,Pycnopsyche scabripennis,species,0.0049,2.85,27,3.1,23.8,North America,,Benke 1999,power model,0.0049,0.0003,,,2.85,0.282,
Odonata,Calopterygidae,Calopteryx,,genus,0.005,2.742,25,2,16.1,North America,,Benke 1999,power model,0.005,0.0008,,,2.742,0.222,
Diptera,Tabanidae,Chrysops,,genus,0.005,2.591,20,1.9,16.4,North America,,Benke 1999,power model,0.005,0.0006,,,2.591,0.105,
Trichoptera,Philopotamidae,Chimarra,,genus,0.005,2.441,63,1.6,10.2,North America,,Benke 1999,power model,0.005,,,,2.441,,
Ephemeroptera,Ephemerellidae,Eurylophella,Eurylophella verisimilis,species,0.0051,2.442,,,,North America,,Benke 1999,power model,0.0051,,,,2.442,,
Odonata,Gomphidae,Gomphus,,genus,0.0052,2.959,33,3,37.1,North America,,Benke 1999,power model,0.0052,,,,2.959,,
Trichoptera,Limnephilidae,Pycnopsyche,Pycnopsyche luculenta,species,0.0052,2.832,47,2.8,17.9,North America,,Benke 1999,power model,0.0052,0.0003,,,2.832,0.111,
Ephemeroptera,Caenidae,Caenis,,genus,0.0052,2.792,67,1.4,6.4,North America,,Benke 1999,power model,0.0052,,,,2.792,,
Ephemeroptera,Baetidae,Heterocloeon,,genus,0.0052,2.721,36,1.9,7.5,North America,,Benke 1999,power model,0.0052,0.0009,,,2.721,0.521,
Plecoptera,Capniidae,Allocapnia,,genus,0.0052,2.6,54,1.3,7,North America,,Benke 1999,power model,0.0052,,,,2.6,,More details in reference
Ephemeroptera,Heptageniidae,Heptagenia,,genus,0.0053,2.529,101,1.3,9.8,North America,,Benke 1999,power model,0.0053,,,,2.529,,
Ephemeroptera,Leptophlebiidae,Leptophlebia,,genus,0.0054,2.836,25,1.2,8.4,North America,,Benke 1999,power model,0.0054,0.0009,,,2.836,0.222,
Trichoptera,Phryganeidae,Ptilostomis,,genus,0.0054,2.811,20,3.8,28.2,North America,,Benke 1999,power model,0.0054,0.0007,,,2.811,0.426,
Plecoptera,Nemouridae,Prostoia,Prostoia completa,species,0.0055,2.633,38,0.9,6.2,North America,,Benke 1999,power model,0.0055,0.0003,,,2.633,0.126,
Ephemeroptera,Heptageniidae,Epeorus,,genus,0.0056,2.926,18,1.3,11.6,North America,,Benke 1999,power model,0.0056,0.002,,,2.926,0.355,
Trichoptera,Hydropsychidae,Hydropsyche,,genus,0.0056,2.766,158,1.3,15.1,North America,,Benke 1999,power model,0.0056,,,,2.766,,More details in reference
Odonata,Gomphidae,Progomphus,Progomphus obscurus,species,0.0057,2.831,28,3.9,23,North America,,Benke 1999,power model,0.0057,0.0012,,,2.831,0.322,
Odonata,Libellulidae,Celithemis,Celithemis fasciata,species,0.0058,2.877,44,2.1,16.3,North America,,Benke 1999,power model,0.0058,0.0003,,,2.877,0.098,
Ephemeroptera,Caenidae,Caenis,Caenis diminuta,species,0.0058,2.712,25,1.6,4.4,North America,,Benke 1999,power model,0.0058,0.0002,,,2.712,0.14,
Megaloptera,Corydalidae,Nigronia,Nigronia serricornis,species,0.0058,2.706,60,9.4,43.5,North America,,Benke 1999,power model,0.0058,,,,2.706,,
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche elissoma,species,0.0058,2.491,26,2.4,10,North America,,Benke 1999,power model,0.0058,0.0003,,,2.491,0.143,
Odonata,Libellulidae,Erythemis,Erythemis simpliciollis,species,0.0061,3.089,9,4.2,12.5,North America,,Benke 1999,power model,0.0061,0.0009,,,3.089,0.411,
Plecoptera,Perlidae,Acroneuria,Acroneuria abnormis,species,0.0061,3,22,4.2,26.1,North America,,Benke 1999,power model,0.0061,0.0005,,,3,0.42,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,genus,0.0061,2.624,55,1,7.8,North America,,Benke 1999,power model,0.0061,0.0005,,,2.624,0.189,
Ephemeroptera,Ephemeridae,Hexagenia,Hexagenia munda,species,0.0062,2.891,21,3.3,24.6,North America,,Benke 1999,power model,0.0062,0.0003,,,2.891,0.113,
Plecoptera,Pteronarcyidae,Pteronarcys ,Pteronarcys dorsata,species,0.0064,2.845,36,8.6,34.9,North America,,Benke 1999,power model,0.0064,0.0005,,,2.845,0.165,
Diptera,Tabanidae,Tipula,,genus,0.0064,2.443,9,4.3,28.3,North America,,Benke 1999,power model,0.0064,0.0034,,,2.443,0.199,
Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,species,0.0067,2.807,45,1,10.9,North America,,Benke 1999,power model,0.0067,0.0008,,,2.807,0.087,
Odonata,Cordulegastridae,Cordulegaster,Cordulegaster maculata,genus,0.0067,2.782,18,3.2,38.1,North America,,Benke 1999,power model,0.0067,0.0012,,,2.782,0.242,
Plecoptera,Taeniopterygidae,Taeniopteryx,,genus,0.0067,2.711,44,1.8,8.5,North America,,Benke 1999,power model,0.0067,0.0005,,,2.711,0.331,
Ephemeroptera,Baetidae,Baetis,,genus,0.0068,2.82,231,1.5,8.5,North America,,Benke 1999,power model,0.0068,,,,2.82,,More details in reference
Trichoptera,Polycentropodidae,Polycentropus,,genus,0.0071,2.531,25,3.1,14.2,North America,,Benke 1999,power model,0.0071,0.0015,,,2.531,0.647,
Odonata,Libellulidae,Ladona,Ladona deplanata,species,0.0072,2.618,37,6.5,6.5,North America,,Benke 1999,power model,0.0072,0.0003,,,2.618,0.117,
Trichoptera,Sericostomatidae,Agarodes,Agarodes libalis,species,0.0074,2.741,41,3,15,North America,,Benke 1999,power model,0.0074,0.0009,,,2.741,0.384,
Odonata,Corduliidae,Epitheca,Epitheca semiaquae,species,0.0074,2.72,17,4.2,29.3,North America,,Benke 1999,power model,0.0074,0.0007,,,2.72,0.359,
Ephemeroptera,Heptageniidae,Stenonema,Stenonema modestum,species,0.0075,2.775,180,0.8,12.1,North America,,Benke 1999,power model,0.0075,,,,2.775,,
Plecoptera,Perlodidae,Isoperla,Isoperla bilineata,species,0.0076,2.601,33,1.7,13.4,North America,,Benke 1999,power model,0.0076,0.0006,,,2.601,0.366,
Ephemeroptera,Ameletidae,Ameletus,,genus,0.0077,2.588,14,2.6,9.6,North America,,Benke 1999,power model,0.0077,0.0019,,,2.588,0.2,
Trichoptera,Lepidostomatidae,Lepidostoma,,genus,0.0079,2.649,33,1,9.1,North America,,Benke 1999,power model,0.0079,0.0009,,,2.649,0.135,
Plecoptera,Taeniopterygidae,Taeniopteryx,Taeniopteryx lita,species,0.0079,2.55,16,1.6,4.2,North America,,Benke 1999,power model,0.0079,0.0005,,,2.55,0.238,
Plecoptera,Perlodidae,Isogenus,,genus,0.008,2.706,32,2.2,15.1,North America,,Benke 1999,power model,0.008,0.0004,,,2.706,0.143,
Ephemeroptera,Ephemerellidae,Eurylophella,Eurylophella temporalis,species,0.008,2.663,74,1.7,61,North America,,Benke 1999,power model,0.008,0.0011,,,2.663,0.21,
Odonata,Aeshnidae,Boyeria,Boyeria vinosa,species,0.0082,2.813,11,3.3,35.4,North America,,Benke 1999,power model,0.0082,0.0021,,,2.813,0.087,
Trichoptera,Odontoceridae,Psilotreta,,genus,0.0082,2.735,18,1.5,13,North America,,Benke 1999,power model,0.0082,0.001,,,2.735,0.2,
Hemiptera,Veliidae,Rhagovelia,Rhagovelia obesa,species,0.0083,2.777,21,2.8,4.8,North America,,Benke 1999,power model,0.0083,0.0006,,,2.777,0.133,
Odonata,Coenagrionidae,Argia,,genus,0.0086,2.666,23,4.1,15.2,North America,,Benke 1999,power model,0.0086,0.0018,,,2.666,0.13,
Ephemeroptera,Ephemerellidae,Serratella,,genus,0.0088,2.584,24,2.3,8,North America,,Benke 1999,power model,0.0088,0.0015,,,2.584,0.47,
Odonata,Corduliidae,Epitheca,Epitheca cynosura,species,0.009,2.757,48,2.5,19.7,North America,,Benke 1999,power model,0.009,0.0004,,,2.757,0.103,
Ephemeroptera,Tricorythidae,Tricorythodes,Tricorythodes minutus,species,0.0092,3.222,200,,,North America,,Benke 1999,power model,0.0092,,,,3.222,,
Plecoptera,Perlidae,Paragnetina,Paragnetina kansensis,species,0.0093,2.797,63,4,22,North America,,Benke 1999,power model,0.0093,0.0006,,,2.797,0.167,
Plecoptera,Perlidae,Beloneuria,Beloneuria georgiana,species,0.0094,2.766,31,3.3,19.5,North America,,Benke 1999,power model,0.0094,0.0011,,,2.766,0.262,
Trichoptera,Rhyacophilidae,Rhyacophila,,genus,0.0099,2.48,32,3.3,16.6,North America,,Benke 1999,power model,0.0099,0.0012,,,2.48,0.385,
Coleoptera,Elmidae,Stenelmis,,genus,0.0111,2.49,46,1.8,3.5,North America,,Benke 1999,power model,0.0111,0.0115,,,2.49,0.154,
Plecoptera,Perlidae,Acroneuria,Acroneuria lycorias,species,0.0115,2.85,,,,North America,,Benke 1999,power model,0.0115,,,,2.85,,
Ephemeroptera,Baetiscidae,Baetisca,,genus,0.0116,2.905,51,1.9,9.8,North America,,Benke 1999,power model,0.0116,0.001,,,2.905,0.22,
Coleoptera,Elmidae,Macronychus,Macronychus glabratus,species,0.0117,2.607,92,1.4,3.9,North America,,Benke 1999,power model,0.0117,,,,2.607,,More details in reference
Odonata,Corduliidae,Neurocordulia,Neurocordulia molesta,species,0.0124,2.884,54,3,19,North America,,Benke 1999,power model,0.0124,0.0006,,,2.884,0.142,
Ephemeroptera,Heptageniidae,Stenonema,,genus,0.0128,2.616,59,2,12.7,North America,,Benke 1999,power model,0.0128,0.0008,,,2.616,0.151,
Ephemeroptera,Ephemerellidae,Drunella,,genus,0.0138,2.856,284,2.4,9.8,North America,,Benke 1999,power model,0.0138,,,,2.856,,More details in reference
Plecoptera,Peltoperlidae,Tallaperla,Tallaperla maria,species,0.0141,2.62,289,,,North America,,Benke 1999,power model,0.0141,,,,2.62,,
Plecoptera,Perlidae,Agnetina,Agnetina capitata,species,0.0144,2.688,21,,,North America,,Benke 1999,power model,0.0144,0.0015,,,2.688,0.322,
Hemiptera,Gerridae,Gerris,Gerris remigis,species,0.015,2.596,15,9,17.5,North America,,Benke 1999,power model,0.015,0.0011,,,2.596,0.15,
Odonata,Libellulidae,Libellula,,genus,0.0151,2.393,19,6.3,16.5,North America,,Benke 1999,power model,0.0151,0.0013,,,2.393,0.262,
Hemiptera,Veliidae,Metrobates,Metrobates hersperius,species,0.0169,2.66,25,3.2,5.5,North America,,Benke 1999,power model,0.0169,0.0007,,,2.66,0.113,
Odonata,Gomphidae,Dromogomphus,,genus,0.018,2.239,12,8.5,19,North America,,Benke 1999,power model,0.018,0.0016,,,2.239,0.317,
Coleoptera,Haliplidae,Peltodytes,Peltodytes sexmaculatus,species,0.0271,2.744,17,4.4,6,North America,,Benke 1999,power model,0.0271,0.002,,,2.744,0.151,
Coleoptera,Chrysomelidae,Galerucella,Galerucella nymphaeae,species,0.0392,3.111,18,0.9,4.1,North America,,Benke 1999,power model,0.0392,0.0132,,,3.111,0.152,
Plecoptera,Perlidae,Neoperla,Neoperla clymene,species,0.0429,1.95,17,3.8,14,North America,,Benke 1999,power model,0.0429,0.0051,,,1.95,0.356,
Coleoptera,Gyrinidae,Dineutes,,genus,0.0531,2.586,41,11,17.2,North America,,Benke 1999,power model,0.0531,0.0031,,,2.586,0.21,
Coleoptera,Dytiscidae,Hydroporus,,genus,0.0618,2.502,42,3.1,6.5,North America,,Benke 1999,power model,0.0618,0.0044,,,2.502,0.177,
Plecoptera,Perlodidae,Kogotus ,Kogotus nonus,species,0.09,2.84,150,,,North America,,Benke 1999,power model,0.09,,,,2.84,,
Ephemeroptera,Leptophlebiidae,,,family,0.00018046,4.2,7,5.4,9.5,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-8.62,1.051,4.2,0.51,
Ephemeroptera,Baetidae,Epeorus,Epeorus sylvicola,species,0.000769323,3.68,5,8.2,15,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-7.17,0.45,3.68,0.6,
Ephemeroptera,Heptageniidae,Rhithrogena ,,genus,0.001048914,3.65,39,2.1,12.9,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-6.86,0.3,3.65,0.15,
Plecoptera,Leuctridae,Leuctra,,genus,0.002198456,2.66,31,2.7,8,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-6.12,0.33,2.66,0.19,
Plecoptera,Nemouridae,Amphinemura,,genus,0.002739445,3.32,12,3.1,6.2,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.9,0.47,3.32,0.3,
Plecoptera,Chloroperlidae,Chloroperla,,genus,0.003027555,2.57,33,4.4,12.2,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.8,0.5,2.57,0.24,
Plecoptera,Perlidae,Perla,Perla grandis,species,0.003517517,2.92,27,4,34.1,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.65,0.18,2.92,0.067,
Ephemeroptera,Heptageniidae,Ecdyonurus,,genus,0.003887457,3.1,29,6.1,16,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.55,0.46,3.1,0.2,
Ephemeroptera,Baetidae,Baetis,,genus,0.003887457,2.67,42,1.2,9.5,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.55,0.25,2.67,0.13,
Plecoptera,Perlodidae,Isoperla,,genus,0.004253556,2.8,25,4,13.4,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.46,0.67,2.8,0.29,
Plecoptera,Nemouridae,Protonemura,,genus,0.006219909,2.51,34,1.8,6.7,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-5.08,0.41,2.51,0.31,
Plecoptera,Nemouridae,Nemoura,,genus,0.013036528,1.62,13,1.3,5.3,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-4.34,0.45,1.62,0.39,
Coleoptera,Hydraenidae,Hydraena,,genus,0.019063114,2.53,17,2.2,2.7,Europe,Switserland,Burgherr & Meyer 1997,linear model natural log,,,-3.96,1.2,2.53,1.34,
Diptera,Tanypodinae,,,family,0.001043505,3.10211,20,3,10.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-6.86517,0.63124,3.10211,0.41833,
Ephemeroptera,Ephemeridae,Ephemera,,genus,0.001597253,3.10693,34,3.7,25.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-6.43947,0.15517,3.10693,0.06357,
Ephemeroptera,Baetidae,Baetis,,genus,0.001932907,3.38661,60,2.5,8.1,Asia,Korea,Chung et al 2008,linear model natural log,,,-6.24873,0.13699,3.38661,0.08241,
Diptera,Tipulidae,Tipula,,genus,0.002570435,2.85475,24,3.5,53.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.96368,0.35711,2.85475,0.11013,
Diptera,Chironomidae (non-Tanypodinae),,,family,0.002843129,2.51826,60,2,6.4,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.86285,0.42861,2.51826,0.31249,
Plecoptera,Chloroperlidae,Sweltsa,,genus,0.002856381,2.95735,53,2.2,10.6,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.8582,0.18444,2.95735,0.10445,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia chocorata,species,0.002943488,3.16628,47,2.1,7.8,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.82816,0.15905,3.16628,0.1014,
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila shikotsuensis,species,0.003655436,2.98184,22,3.5,17.1,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.61154,0.18146,2.98184,0.08278,
Ephemeroptera,Ameletidae,Ameletus,,genus,0.003833565,2.97029,45,6.5,18.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.56396,0.34226,2.97029,0.15206,
Trichoptera,Philopotamidae,Philopotamidae,,genus,0.003987503,2.74318,23,3.5,11.5,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.52459,0.19277,2.74318,0.1094,
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila articulata,species,0.004120256,3.2613,51,3.2,12.3,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.49184,0.20026,3.2613,0.09771,
Diptera,Pediciidae,Dicranota,,genus,0.004195218,2.50973,24,3.5,7,Asia,Korea,Chung et al 2008,linear model natural log,,,-5.47381,0.52027,2.50973,0.32023,
