"family","order","a","b","source"
"Aeolothripidae","Thysanoptera",0.002,3.12,"Rogers et al. (1976)"
"Trogulidae","Opiliones",0.027,3.011,"Benke et al. (1999)"
"Ectobiidae","Blattodea",0.01,2.88,"Rogers et al. (1976)"
"Polyxenidae","Polyxenida",0.018,2.87,"Rogers et al. (1976)"
"Gryllidae","Orthoptera",0.006,3.05,"Rogers et al. (1976)"
"Reduviidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Glomeridae","Glomerida",0.018,2.87,"Rogers et al. (1976)"
"Acrididae","Orthoptera",0.006,3.05,"Rogers et al. (1976)"
"Berytidae","Hemiptera",0.002,3.12,"Rogers et al. (1976)"
"Tettigoniidae","Orthoptera",0.006,3.05,"Rogers et al. (1976)"
"Cochlostomatidae","Architaenioglossa",0.054,2.518,"Benke et al. (1999)"
