"","...1","laufnummer","site","location_old","order","family","size","ecomorphology","area_pool","human_influence","location","method"
"66",66,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"67",67,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"68",68,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"69",69,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"70",70,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"71",71,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"72",72,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"73",73,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"74",74,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"75",75,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"76",76,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"77",77,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"78",78,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"79",79,97,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"Control","kick_net"
"80",80,97,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"81",81,97,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"82",82,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"83",83,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"84",84,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"85",85,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"86",86,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"87",87,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"88",88,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"89",89,97,"Tegel","Control","Diptera","Simuliidae",2,2,728,191108.434590873,"Control","kick_net"
"90",90,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"91",91,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"92",92,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"93",93,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"94",94,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"95",95,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"96",96,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"97",97,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"98",98,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"99",99,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"100",100,97,"Tegel","Control","Diptera","Simuliidae",3,2,728,191108.434590873,"Control","kick_net"
"101",101,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"102",102,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"103",103,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"104",104,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"105",105,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"106",106,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"107",107,97,"Tegel","Control","Diptera","Simuliidae",4,2,728,191108.434590873,"Control","kick_net"
"108",108,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"109",109,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"110",110,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"111",111,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"112",112,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"113",113,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"114",114,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"115",115,97,"Tegel","Control","Diptera","Simuliidae",5,2,728,191108.434590873,"Control","kick_net"
"116",116,97,"Tegel","Control","Diptera","Simuliidae",6,2,728,191108.434590873,"Control","kick_net"
"117",117,97,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"118",118,97,"Tegel","Control","Diptera","Simuliidae",7,2,728,191108.434590873,"Control","kick_net"
"119",119,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"120",120,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"121",121,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"122",122,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"123",123,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"124",124,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"125",125,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"126",126,97,"Tegel","Control","Diptera","Chironomidae",2,2,728,191108.434590873,"Control","kick_net"
"127",127,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"128",128,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"129",129,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"130",130,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"131",131,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"132",132,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"133",133,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"134",134,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"135",135,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"136",136,97,"Tegel","Control","Diptera","Chironomidae",3,2,728,191108.434590873,"Control","kick_net"
"137",137,97,"Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"Control","kick_net"
"138",138,97,"Tegel","Control","Diptera","Chironomidae",4,2,728,191108.434590873,"Control","kick_net"
"139",139,97,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"140",140,97,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"141",141,97,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"142",142,97,"Tegel","Control","Diptera","Chironomidae",5,2,728,191108.434590873,"Control","kick_net"
"143",143,97,"Tegel","Control","Amphipoda","Gammaridae",1,2,728,191108.434590873,"Control","kick_net"
"144",144,97,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"145",145,97,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"146",146,97,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"147",147,97,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"148",148,97,"Tegel","Control","Amphipoda","Gammaridae",3,2,728,191108.434590873,"Control","kick_net"
"149",149,97,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"150",150,97,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"151",151,97,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"152",152,97,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"153",153,97,"Tegel","Control","Amphipoda","Gammaridae",4,2,728,191108.434590873,"Control","kick_net"
"154",154,97,"Tegel","Control","Diptera","Psychodidae",2,2,728,191108.434590873,"Control","kick_net"
"155",155,97,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"156",156,97,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"157",157,97,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"Control","kick_net"
"158",158,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"159",159,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"160",160,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"161",161,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"162",162,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"163",163,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"164",164,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"165",165,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"166",166,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"167",167,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"168",168,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"169",169,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"170",170,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"171",171,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"172",172,97,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"Control","kick_net"
"173",173,97,"Tegel","Control","Oligochaeta",NA,2,2,728,191108.434590873,"Control","kick_net"
"174",174,97,"Tegel","Control","Oligochaeta",NA,2,2,728,191108.434590873,"Control","kick_net"
"175",175,97,"Tegel","Control","Oligochaeta",NA,5,2,728,191108.434590873,"Control","kick_net"
"176",176,97,"Tegel","Control","Oligochaeta",NA,5,2,728,191108.434590873,"Control","kick_net"
"177",177,97,"Tegel","Control","Oligochaeta",NA,7,2,728,191108.434590873,"Control","kick_net"
"178",178,97,"Tegel","Control","Oligochaeta",NA,9,2,728,191108.434590873,"Control","kick_net"
"179",179,97,"Tegel","Control","Oligochaeta",NA,10,2,728,191108.434590873,"Control","kick_net"
"180",180,97,"Tegel","Control","Oligochaeta",NA,11,2,728,191108.434590873,"Control","kick_net"
"181",181,97,"Tegel","Control","Oligochaeta",NA,11,2,728,191108.434590873,"Control","kick_net"
"182",182,97,"Tegel","Control","Oligochaeta",NA,24,2,728,191108.434590873,"Control","kick_net"
"183",183,97,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"Control","kick_net"
"184",184,97,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"Control","kick_net"
"185",185,97,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"Control","kick_net"
"186",186,97,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"Control","kick_net"
"187",187,97,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"Control","kick_net"
"188",188,97,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"Control","kick_net"
"189",189,97,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"Control","kick_net"
"190",190,97,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"Control","kick_net"
"191",191,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"192",192,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"193",193,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"194",194,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"195",195,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"196",196,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"197",197,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"198",198,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"199",199,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"200",200,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"201",201,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"202",202,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"203",203,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"204",204,97,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"Control","kick_net"
"205",205,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"206",206,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"207",207,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"208",208,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"209",209,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"210",210,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"211",211,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"212",212,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"213",213,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"214",214,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"215",215,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"216",216,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"217",217,97,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"Control","kick_net"
"218",218,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"219",219,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"220",220,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"221",221,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"222",222,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"223",223,97,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"Control","kick_net"
"224",224,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"225",225,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"226",226,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"227",227,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"228",228,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"229",229,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"230",230,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"231",231,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"232",232,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"233",233,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"234",234,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"235",235,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"236",236,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"237",237,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"238",238,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"239",239,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"240",240,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"241",241,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"242",242,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"243",243,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"244",244,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"245",245,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"246",246,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"247",247,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"248",248,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"249",249,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"250",250,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"251",251,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"252",252,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"253",253,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"254",254,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"255",255,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"256",256,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"257",257,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"258",258,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"259",259,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"260",260,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"261",261,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"262",262,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"263",263,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
"264",264,97,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"Control","kick_net"
